"PDB"	"rigid_energy_score.start"	"end."	"rigid_energy_score_refe.start"	"end..1"	"energy_score.start"	"end..2"	"energy_score_refe.start"	"end..3"	"restraining_energy_score.start"	"end..4"	"restraining_energy_score_refe.start"	"end..5"	"energy_score_wo_restraining.start"	"end..6"	"energy_score_refe_wo_restraining.start"	"end..7"	"delta_energy_score_end_flex_minus_rig"
"1D6R"	20909241.726	-9.709	-20.686	-22.582	20911440.473	946.211	2429.037	838.936	2379.008	923.312	2459.156	851.971	20909061.465	22.899	-30.119	-13.035	32.608
"1DFJ"	3851.817	-24.287	-33.638	-35.945	73696.38	5399.161	64903.17	6585.663	69902.728	4943.351	64994.598	6238.187	3793.652	455.81	-91.428	347.476	480.097
"1DQJ"	70229.635	-13.726	-29.093	-34.006	70802.08	425.065	423.201	376.042	632.025	496.269	505.871	465.04	70170.055	-71.204	-82.67	-88.998	-57.478
"1E4K"	123287.037	-9.567	-24.113	-28.12	123687.884	364.656	444.967	375.233	482.411	455.443	532.25	474.321	123205.473	-90.787	-87.283	-99.088	-81.22
"1E6E"	-12.972	-24.118	-21.703	-26.899	2998.613	2938.134	2881.141	2840.144	3038.156	2995.791	2934.467	2899.27	-39.543	-57.657	-53.326	-59.126	-33.539
"1E6J"	-13.219	-22.784	-22.531	-28.167	2354.801	2320.42	2377.03	2348.631	2396.65	2372.299	2420.536	2408.22	-41.849	-51.879	-43.506	-59.589	-29.095
"1E96"	1221.502	-17.301	-20.076	-23.21	1310.671	209.184	194.921	144.838	311.987	268.717	249.406	208.065	998.684	-59.533	-54.485	-63.227	-42.232
"1EAW"	1877.186	206.649	-33.89	-39.405	1790.238	191.826	193.367	149.554	281.923	251.549	246.772	225.388	1508.315	-59.723	-53.405	-75.834	-266.372
"1EER"	38237.007	-16.715	-40.724	-43.484	799652.907	519640.228	696754.617	485545.057	784057.478	503449.2	696898.386	480358.6	15595.429	16191.028	-143.769	5186.457	16207.743
"1EFN"	946.893	-17.964	-13.835	-20.333	1089.292	116.646	133.804	89.852	171.065	160.163	152.896	136.787	918.227	-43.517	-19.092	-46.935	-25.553
"1EWY"	-13.265	-18.472	-18.332	-24.302	2665.118	2548.64	2929.516	2711.09	2697.896	2589.688	2955.898	2750.133	-32.778	-41.048	-26.382	-39.043	-22.576
"1EZU"	4598894.071	-17.543	-31.578	-35.236	4770149.847	169352.45	174052.9	170646.016	173254.789	169518.868	174209.779	170822.688	4596895.058	-166.418	-156.879	-176.672	-148.875
"1F34"	43139.62	-14.957	-29.409	-30.701	726464.923	142503.751	654816.417	148644.921	683410.164	137232.738	654914.51	142736.28	43054.759	5271.013	-98.093	5908.641	5285.97
"1F51"	7187.653	-15.485	-19.342	-25.951	8640.868	787.96	2762.124	820.554	2923.722	860.418	2854.647	903.783	5717.146	-72.458	-92.523	-83.229	-56.973
"1F6M"	1111.183	-11.391	-29.073	-34.273	3734.416	613.486	2582.765	579.356	2692.61	684.923	2670.888	679.626	1041.806	-71.437	-88.123	-100.27	-60.046
"1FAK"	6775.698	-6.942	-32.31	-35.776	570.992	240.259	256.632	188.287	201.179	225.549	318.408	260.112	369.813	14.71	-61.776	-71.825	21.652
"1FC2"	749.994	-13.467	-20.362	-22.992	1005.469	215.279	311.585	228.816	272.277	248.31	355.272	278.861	733.192	-33.031	-43.687	-50.045	-19.564
"1FCC"	73293.688	-5.001	-5.702	-12.383	73564.419	345.815	288.466	229.081	300.217	376.797	328.052	285.864	73264.202	-30.982	-39.586	-56.783	-25.981
"1FFW"	195.003	-12.774	-19.554	-23.245	368.044	118.45	179.682	155.052	216.628	190.047	241.964	229.5	151.416	-71.597	-62.282	-74.448	-58.823
"1FLE"	123164.261	193.803	-25.231	-28.3	121664.856	613.078	185.492	127.729	237.769	646.375	227.249	182.843	121427.087	-33.297	-41.757	-55.114	-227.1
"1FQ1"	8013.089	-17.837	-19.857	-23.269	8199.085	144.002	141.545	111.358	224.095	208.203	191.161	173.432	7974.99	-64.201	-49.616	-62.074	-46.364
"1FQJ"	597.616	-17.679	-19.156	-26.946	855.227	328.864	379.937	327.704	467.237	429.113	483.661	447.481	387.99	-100.249	-103.724	-119.777	-82.57
"1FSK"	-9.846	-32.55	-22.548	-33.891	238.756	190.436	262.557	212.655	284.53	264.554	316.328	287.933	-45.774	-74.118	-53.771	-75.278	-41.568
"1GCQ"	-17.411	-19.56	-19.192	-22.073	3231.43	3192.489	3093.79	3067.191	3285.24	3253.756	3151.114	3125.899	-53.81	-61.267	-57.324	-58.708	-41.707
"1GHQ"	-8.871	-11.465	-7.611	-8.823	2458.291	946.372	2525.145	570.882	2501.856	988.84	2561.898	605.503	-43.565	-42.468	-36.753	-34.621	-31.003
"1GL1"	1718.002	-18.959	-19.548	-30.991	5126.046	3373.773	2973.058	2953.426	3441.515	3408.986	3006.204	2993.474	1684.531	-35.213	-33.146	-40.048	-16.254
"1GLA"	2231.943	-13.574	-16.014	-21.967	2507.272	227.782	301.595	206.602	326.788	289.595	358.711	267.937	2180.484	-61.813	-57.116	-61.335	-48.239
"1GP2"	77.648	-23.648	-25.476	-29.415	259.999	130.525	157.615	121.658	228.434	212.394	222.931	193.619	31.565	-81.869	-65.316	-71.961	-58.221
"1GPW"	189.103	-19.18	-26.763	-30.727	38644.194	3795.11	35852.709	3566.018	38620.665	3818.41	35965.001	3648.378	23.529	-23.3	-112.292	-82.36	-4.12
"1GRN"	299.495	-14.967	-19.503	-23.022	650.361	302.982	301.226	273.619	404.979	370.756	373.884	352.067	245.382	-67.774	-72.658	-78.448	-52.807
"1GXD"	16100.261	-11.4	-13.108	-26.882	21130.005	3544.099	5341.579	3521.965	5498.065	3600.398	5404.26	3594.268	15631.94	-56.299	-62.681	-72.303	-44.899
"1H1V"	816227830.416	31391.229	-28.424	-32.486	774860991.959	55751.412	80686.587	53218.481	84953.353	55242.947	80820.396	53237.293	774776038.606	508.465	-133.809	-18.812	-30882.764
"1H9D"	361.197	-8.968	-26.101	-29.856	2970.52	548.681	2553.877	1728.2	2715.663	616.373	2651.529	1801.197	254.857	-67.692	-97.652	-72.997	-58.724
