"PDB"	"rigid_energy_score.start"	"end."	"rigid_energy_score_refe.start"	"end..1"	"energy_score.start"	"end..2"	"energy_score_refe.start"	"end..3"	"restraining_energy_score.start"	"end..4"	"restraining_energy_score_refe.start"	"end..5"	"energy_score_wo_restraining.start"	"end..6"	"energy_score_refe_wo_restraining.start"	"end..7"	"delta_energy_score_end_flex_minus_rig"
"2OT3"	8266.698	-20.571	-29.133	-33.092	95722.671	16811.099	359.824	222.939	87690.917	15923.518	488.327	373.67	8031.754	887.581	-128.503	-150.731	908.152
"2OZA"	5489.778	-19.856	-27.01	-28.746	26754.556	4497.92	23338.304	4429.15	23441.349	4357.974	23435.658	4504.073	3313.207	139.946	-97.354	-74.923	159.802
"2PCC"	340.371	-19.975	-20.227	-27.061	627.689	190.212	225.008	163.967	322.799	245.286	277.298	232.117	304.89	-55.074	-52.29	-68.15	-35.099
"2SIC"	1529.182	-17.963	-26.964	-27.794	1737.879	171.768	242.73	151.975	219.74	207.33	278.101	205.531	1518.139	-35.562	-35.371	-53.556	-17.599
"2SNI"	67.53	-25.444	-28.717	-30.665	2953.207	2832.648	3017.736	2976.631	2911.439	2887.244	3068.868	3037.317	41.768	-54.596	-51.132	-60.686	-29.152
"2UUY"	11346917.931	-7.599	-19.035	-21.614	11346852.494	134.252	117.468	63.853	167.056	144.349	162.368	118.789	11346685.438	-10.097	-44.9	-54.936	-2.498
"2VDB"	153.192	-15.872	-20.74	-21.923	2584.057	2355.182	2479.862	2333.13	2484.107	2430.993	2546.478	2412.628	99.95	-75.811	-66.616	-79.498	-59.939
"2VXT"	52685.971	-18.84	-34.288	-37.46	52947.526	323.208	1980.925	1088.033	305.209	355.707	2049.475	903.146	52642.317	-32.499	-68.55	184.887	-13.659
"2W9E"	24.376	-13.079	-16.521	-23.845	508.756	283.284	295.764	200.764	507.218	324.106	351.21	264.284	1.538	-40.822	-55.446	-63.52	-27.743
"2X9A"	797.409	-14.681	-29.543	-31.482	644.127	337.303	402.973	274.967	358.071	378.342	464.542	344.442	286.056	-41.039	-61.569	-69.475	-26.358
"2YVJ"	-15.296	-29.239	-12.782	-28.125	2501.021	881.516	2579.899	734.571	2542.168	898.605	2618.075	752.182	-41.147	-17.089	-38.176	-17.611	12.15
"2Z0E"	5477.12	870.366	-22.091	-31.522	7954.885	4349.558	2957.909	2916.054	3173.654	3679.755	3016.883	3001.825	4781.231	669.803	-58.974	-85.771	-200.563
"3A4S"	6706.869	-20.216	-8.52	-18.693	12187.095	2945.478	6529.363	3457.423	5517.557	2992.161	6566.469	3503.781	6669.538	-46.683	-37.106	-46.358	-26.467
"3AAA"	70543750.579	-9.93	-25.01	-29.781	71006682.991	118966.811	476069.652	52030.731	468239.609	117205.433	476155.559	51501.782	70538443.382	1761.378	-85.907	528.949	1771.308
"3AAD"	3777928.615	-7.467	-8.202	-13.839	3719117.112	859.956	478.204	230.693	309.65	858.409	553.542	316.368	3718807.462	1.547	-75.338	-85.675	9.014
"3BIW"	-4.35	-10.576	-8.181	-11.734	474.329	257.071	278.427	244.357	503.735	291.555	311.493	284.144	-29.406	-34.484	-33.066	-39.787	-23.908
"3BP8"	8843.613	-15.14	-16.129	-19.556	5484.526	148.13	162.46	133.608	232.529	210.527	222.51	201.558	5251.997	-62.397	-60.05	-67.95	-47.257
"3BX7"	19377.483	1010.888	-32.588	-38.488	190608.672	17724.412	185000.537	14145.649	174628.954	16896.321	185083.817	13807.088	15979.718	828.091	-83.28	338.561	-182.797
"3CPH"	98948.298	-15.162	-25.197	-32.079	73654.843	654.584	413.399	266.788	220.711	395.129	480.347	348.879	73434.132	259.455	-66.948	-82.091	274.617
"3D5S"	347.919	-14.74	-19.195	-21.094	381415.273	5326.834	385660.166	4042.367	381103.415	5116.738	385716.399	3982.277	311.858	210.096	-56.233	60.09	224.836
"3DAW"	215681.868	-16.262	-34.882	-38.026	5369.419	3395.073	7478.912	3704.048	5063.635	3478.876	7575.367	3754.981	305.784	-83.803	-96.455	-50.933	-67.541
"3EO1"	2994.714	-19.215	-21.1	-23.002	1147.536	375.843	311.498	273.047	412.286	439.399	394.095	361.297	735.25	-63.556	-82.597	-88.25	-44.341
"3EOA"	1550771197.753	-0.012	-18.145	-22.496	823.621	318.072	312.151	245.877	403.082	363.124	374.897	329.925	420.539	-45.052	-62.746	-84.048	-45.04
"3F1P"	-7.085	-19.115	-21.798	-26.993	229.659	161.773	360.462	193.516	290.636	246.962	431.551	270.076	-60.977	-85.189	-71.089	-76.56	-66.074
"3FN1"	2608.77	-11.342	-0.962	-17.84	2831.81	187.733	302.127	186.593	328.342	258.247	368.413	272.81	2503.468	-70.514	-66.286	-86.217	-59.172
"3G6D"	234.014	-10.688	-24.214	-31.73	2896.93	2589.796	3213.738	3113.291	2706.39	2662.207	3285.067	3201.256	190.54	-72.411	-71.329	-87.965	-61.723
"3H11"	2393.447	-17.738	1.632	-21.65	590377.641	31503.771	689232.604	209757.275	589211.371	30659.557	689322.093	201172.757	1166.27	844.214	-89.489	8584.518	861.952
"3H2V"	19.341	-9.267	-5.429	-12.407	212.026	173.467	225.514	175.921	222.428	208.469	258.194	216.539	-10.402	-35.002	-32.68	-40.618	-25.735
"3HMX"	2707240.13	-19.823	-25.977	-32.797	2707845.409	1649.774	2694.438	749.053	2797.047	1716.387	2822.218	869.3	2705048.362	-66.613	-127.78	-120.247	-46.79
"3K75"	-14.085	-15.664	-11.848	-17.981	231.293	154.902	233.678	149.146	304.73	239.856	307.928	236.897	-73.437	-84.954	-74.25	-87.751	-69.29
"3L5W"	3302.681	-20.848	-21.927	-25.425	1373038.168	143193.17	1320012.793	134788.526	1372654.296	142834.172	1320057.085	134062.841	383.872	358.998	-44.292	725.685	379.846
"3L89"	72246.639	-0.003	-27.239	-32.217	227596.785	53680.501	158478.464	61236.713	156621.586	53724.794	158577.043	61277.77	70975.199	-44.293	-98.579	-41.057	-44.29
"3LVK"	36064.238	-12.936	-15.384	-26.111	38686.92	969.312	2423.862	618.019	2647.976	979.974	2465.503	660.339	36038.944	-10.662	-41.641	-42.32	2.274
"3MXW"	-9.445	-27.188	-24.944	-29.726	538.82	332.596	466.132	320.757	597.796	402.284	535.537	392.776	-58.976	-69.688	-69.405	-72.019	-42.5
"3P57"	125.646	-10.839	-12.411	-15.166	378.822	184.722	196.757	167.081	258.891	203.822	214.617	191.061	119.931	-19.1	-17.86	-23.98	-8.261
"3PC8"	-2.607	-19.954	-16.165	-20.27	376525.465	60883.018	376183.023	34826.01	376560.033	59467.59	376231.367	33791.294	-34.568	1415.428	-48.344	1034.716	1435.382
"3RVW"	178.857	-19.491	-14.335	-18.766	625.474	331.675	432.715	315.973	527.428	430.708	523.461	418.335	98.046	-99.033	-90.746	-102.362	-79.542
"3S9D"	57.258	-23.671	-25.22	-29.195	252.654	172.339	235.793	191.92	246.285	246.905	312.171	277.945	6.369	-74.566	-76.378	-86.025	-50.895
"3SGQ"	63.132	-22.195	-22.071	-24.439	2500.397	333.198	2445.288	866.204	2538.25	366.615	2484.359	896.054	-37.853	-33.417	-39.071	-29.85	-11.222
"3SZK"	19517.462	-17.822	-14.18	-23.26	19843.435	336.895	2735.119	1049.718	368.713	377.304	2806.292	1095.895	19474.722	-40.409	-71.173	-46.177	-22.587
"3V6Z"	78625.008	-10.836	-26.287	-32.17	16099.189	453.925	348.585	295.159	522.245	491.122	447.924	412.872	15576.944	-37.197	-99.339	-117.713	-26.361
"3VLB"	-21.828	-34.064	-31.77	-34.249	86217.286	31338.384	84812.928	32694.015	86319.789	31400.536	84920.079	32730.487	-102.503	-62.152	-107.151	-36.472	-28.088
"4CPA"	619.355	-17.286	-17.64	-24.423	4389.9	3509.341	3476.11	3323.504	3790.01	3543.749	3498.325	3367.417	599.89	-34.408	-22.215	-43.913	-17.122
"4DN4"	1794.6	-23.819	-19.907	-24.777	1936.019	105.172	153.788	104.415	168.104	149.619	198.555	159.75	1767.915	-44.447	-44.767	-55.335	-20.628
"4G6M"	-16.258	-22.504	-22	-26.067	488.136	274.779	292.448	245.526	542.928	326.739	348.974	309.57	-54.792	-51.96	-56.526	-64.044	-29.456
"4H03"	-1.481	-18.458	-21.525	-24.615	13926.628	904.263	13209.264	2968.529	13997.687	984.034	13318.525	3026.93	-71.059	-79.771	-109.261	-58.401	-61.313
"4HX3"	2569.218	-6.831	-30.248	-33.646	13273.355	730.466	11632.127	977.931	11811.204	815.262	11734.325	1031.317	1462.151	-84.796	-102.198	-53.386	-77.965
"4IZ7"	4376.109	-10.221	-12.846	-15.809	4566.913	213.873	202.724	157.986	236.522	236.995	254.132	219.8	4330.391	-23.122	-51.408	-61.814	-12.901
"4JCV"	20719.886	6214.058	-23.33	-38.667	161514.012	6804.662	153335.927	5607.351	155139.369	6468.688	153477.448	5519.939	6374.643	335.974	-141.521	87.412	-5878.084
"4LW4"	1493.736	-15.34	-19.528	-22.289	1865.025	337.187	364.988	266.75	426.31	405.011	426.269	341.93	1438.715	-67.824	-61.281	-75.18	-52.484
"4M76"	4.532	-11.589	-9.461	-10.846	244.413	202.559	213.004	178.957	267.306	237.044	246.46	216.336	-22.893	-34.485	-33.456	-37.379	-22.896
"7CEI"	-24.988	-28.429	-28.237	-34.718	261.374	219.217	238.201	203.989	304.016	267.901	286.891	262.161	-42.642	-48.684	-48.69	-58.172	-20.255
"9QFW"	-16.246	-23.268	-22.704	-26.706	325.656	278.792	324.839	227.981	367.905	324.231	374.279	279.62	-42.249	-45.439	-49.44	-51.639	-22.171
